doc_idx,true_label,kmeans_k8_s0,kmeans_k8_s1,kmeans_k8_s2,kmeans_k17_s0,kmeans_k17_s1,kmeans_k17_s2,kmeans_k34_s0,kmeans_k34_s1,kmeans_k34_s2,kmeans_k68_s0,kmeans_k68_s1,kmeans_k68_s2,kmeans_k136_s0,kmeans_k136_s1,kmeans_k136_s2,gmm_k8_s0,gmm_k8_s1,gmm_k8_s2,gmm_k17_s0,gmm_k17_s1,gmm_k17_s2,gmm_k34_s0,gmm_k34_s1,gmm_k34_s2,gmm_k68_s0,gmm_k68_s1,gmm_k68_s2,gmm_k136_s0,gmm_k136_s1,gmm_k136_s2,spectral_k8_s0,spectral_k8_s1,spectral_k8_s2,spectral_k17_s0,spectral_k17_s1,spectral_k17_s2,spectral_k34_s0,spectral_k34_s1,spectral_k34_s2,spectral_k68_s0,spectral_k68_s1,spectral_k68_s2,spectral_k136_s0,spectral_k136_s1,spectral_k136_s2,ward_k8,ward_k17,ward_k34,ward_k68,ward_k136,leiden_k8_s0,leiden_k8_s1,leiden_k8_s2,leiden_k17_s0,leiden_k17_s1,leiden_k17_s2,leiden_k34_s0,leiden_k34_s1,leiden_k34_s2,leiden_k68_s0,leiden_k68_s1,leiden_k68_s2,leiden_k136_s0,leiden_k136_s1,leiden_k136_s2
19,7,7,4,0,7,16,0,16,10,0,22,39,66,22,113,66,4,4,7,4,4,0,11,12,0,20,18,0,108,18,53,2,1,0,13,0,8,10,18,33,60,57,48,113,121,80,8,15,30,59,119,0,0,0,12,14,12,21,21,14,5,34,38,13,55,19
20,14,2,6,3,14,12,4,23,26,3,14,7,22,27,7,110,2,3,4,2,3,4,2,3,2,48,45,25,114,107,25,3,5,3,4,4,14,11,0,2,50,33,11,53,4,76,4,4,10,13,23,3,3,3,0,0,3,0,1,1,16,7,20,83,90,92
21,21,4,3,5,4,8,5,19,27,4,52,47,58,100,47,68,3,2,1,3,2,15,3,2,1,34,24,38,72,87,129,0,3,2,2,5,1,6,11,1,12,3,1,15,45,9,1,1,2,2,3,2,2,2,2,2,2,27,0,0,24,20,22,59,5,4
22,14,2,6,3,14,6,4,33,15,3,27,10,22,14,10,22,2,3,4,2,3,4,2,3,2,3,41,52,3,41,78,3,5,3,4,4,14,11,0,2,15,11,11,53,132,100,4,4,9,11,20,3,3,3,0,0,3,0,1,1,22,21,13,28,39,29
23,15,6,1,7,13,9,7,6,2,18,12,58,63,94,58,63,7,6,0,7,6,9,13,6,15,51,50,26,51,50,26,2,1,0,5,9,0,33,3,11,62,4,60,121,120,120,7,13,24,45,89,0,0,0,3,3,4,12,7,7,54,53,55,63,65,61
24,31,7,4,0,8,15,8,27,18,6,53,51,38,127,51,80,4,4,7,13,11,7,30,9,31,4,49,34,111,19,34,2,1,0,3,7,7,1,8,31,61,51,40,112,15,79,8,14,28,53,104,0,0,0,4,5,5,8,12,8,46,51,42,121,122,131
25,19,1,0,6,1,13,12,11,28,10,29,5,53,107,5,53,1,0,3,1,8,3,24,32,27,65,20,29,118,114,130,4,6,5,9,10,6,22,21,20,21,64,17,75,79,86,3,3,6,8,16,5,5,5,6,6,6,26,25,25,17,16,18,4,4,104
26,29,7,4,0,8,15,8,27,18,6,17,18,60,81,18,126,4,4,7,11,11,13,18,11,28,49,14,18,30,85,18,2,1,0,3,7,7,1,8,31,17,56,30,79,12,53,8,14,28,53,104,0,0,0,7,5,8,23,19,29,48,50,51,26,33,21
27,9,0,7,2,0,2,2,13,24,14,28,62,65,28,16,70,0,1,2,8,1,11,15,1,18,64,42,6,135,1,96,1,4,1,1,1,16,3,20,6,17,56,30,89,28,108,6,10,16,27,48,1,1,1,5,4,0,3,3,3,33,31,35,15,15,131
28,16,3,5,1,15,5,1,9,4,22,7,49,17,68,49,17,5,5,5,5,5,5,22,5,19,50,48,5,87,84,28,5,2,4,6,3,5,26,6,3,2,9,53,114,114,72,5,6,12,20,34,4,4,4,1,1,1,4,4,4,35,38,31,81,67,86
29,32,7,4,0,8,10,14,10,25,9,51,53,47,51,53,47,4,4,7,11,10,13,31,29,29,49,33,35,126,33,35,2,1,0,16,13,13,2,19,0,61,56,30,127,55,8,8,14,29,57,115,0,0,0,7,5,8,23,22,26,28,27,26,8,8,85
30,19,1,0,6,16,3,12,26,23,15,47,25,32,47,68,32,1,0,3,1,8,3,33,7,8,24,21,63,116,121,8,4,6,5,7,6,2,4,5,4,18,41,61,1,133,20,3,3,8,10,18,5,5,5,6,6,6,6,6,6,10,4,3,73,84,79
31,16,3,5,1,9,5,1,18,4,1,46,41,14,109,41,14,5,5,5,5,5,5,19,18,5,23,46,30,112,46,91,5,2,4,6,3,5,31,23,14,53,14,28,134,86,63,5,6,12,18,32,4,4,4,1,1,1,9,9,10,9,8,19,55,25,46
32,14,2,6,3,14,12,3,29,12,33,14,40,19,27,10,110,2,3,4,2,3,4,2,3,2,48,3,25,48,107,54,3,5,3,4,4,14,11,0,2,20,33,12,53,4,45,4,4,10,15,28,3,3,3,0,0,14,22,20,22,11,12,9,117,3,2
33,21,4,3,5,4,8,5,31,16,4,3,15,12,131,75,122,3,2,1,3,2,15,3,2,1,34,53,1,72,87,38,0,3,2,2,5,1,6,11,1,0,1,65,73,28,77,1,1,3,4,6,2,2,2,2,2,2,1,0,0,13,1,46,39,29,53
34,16,3,5,1,9,5,1,9,4,1,35,4,39,35,88,39,5,5,5,5,5,5,5,5,5,50,27,5,119,27,105,5,2,4,6,3,5,31,23,14,25,61,62,43,80,109,5,6,12,20,37,4,4,4,1,1,1,4,4,4,27,40,50,35,59,62
35,15,6,1,7,13,1,7,14,30,7,31,59,57,31,121,59,7,6,0,15,6,9,13,6,10,66,6,17,89,6,17,1,4,1,5,9,0,33,3,11,48,58,45,48,129,103,7,13,24,45,91,0,0,0,3,3,4,16,23,20,19,15,14,5,128,101
36,18,5,0,6,5,11,16,20,0,5,33,0,13,99,66,116,6,0,6,6,0,6,25,0,3,7,62,45,88,91,101,6,0,6,0,2,3,7,15,29,17,21,30,79,28,45,2,2,4,5,10,6,6,6,8,7,7,2,2,2,14,10,7,49,13,18
37,16,3,5,1,9,5,1,9,4,1,35,31,17,88,31,17,5,5,5,5,5,5,5,5,5,50,48,5,87,84,28,5,2,4,6,3,5,26,6,3,2,9,53,29,114,116,5,6,12,20,37,4,4,4,1,1,1,4,4,4,57,38,31,74,72,83
38,21,4,3,5,4,8,5,31,27,4,3,15,12,131,75,12,3,2,1,3,2,15,3,2,1,34,53,1,123,53,1,0,3,2,2,5,1,6,11,1,0,66,65,7,44,124,1,1,3,4,7,2,2,2,2,2,2,1,0,0,13,1,34,12,29,69
39,14,2,6,3,14,12,3,29,12,33,44,40,19,44,40,89,2,3,4,2,3,4,23,15,24,33,23,31,33,23,31,3,5,3,4,4,14,17,22,32,20,38,12,51,34,56,4,4,9,11,20,3,3,3,0,0,14,22,20,22,11,12,9,2,3,2
40,30,7,4,0,8,0,6,7,33,28,34,56,52,34,56,52,4,4,7,13,12,7,20,23,23,41,16,24,41,89,24,2,1,0,3,7,7,25,12,21,26,20,54,45,104,40,8,16,31,61,124,0,0,0,15,13,13,30,30,30,50,48,53,51,46,40
41,18,6,1,7,13,9,6,6,2,13,34,32,24,117,91,73,6,0,6,6,0,6,7,25,21,56,26,22,68,60,22,6,0,6,0,2,3,13,14,7,33,25,15,22,28,129,2,2,5,7,14,6,6,6,8,7,7,2,2,2,0,0,0,11,9,12
42,16,3,5,1,15,5,1,17,21,22,6,8,56,8,90,87,5,5,5,5,5,5,22,5,19,25,34,50,129,34,50,5,2,4,6,3,5,26,6,3,42,48,9,120,107,125,5,5,11,17,30,4,4,4,1,1,1,20,18,18,30,9,28,23,32,22
43,14,2,6,3,14,12,11,12,26,3,65,12,5,65,116,104,2,3,4,2,3,4,2,3,2,3,41,52,3,41,132,3,5,3,4,4,14,11,0,2,3,33,11,10,40,3,4,4,10,15,27,3,3,3,0,0,3,0,1,1,20,18,20,64,62,72
44,24,0,7,2,15,7,2,17,21,22,6,23,1,122,52,7,5,5,5,5,5,5,22,5,19,62,5,64,25,74,109,1,4,1,1,1,16,3,20,6,42,48,9,79,51,27,6,12,20,34,62,1,1,1,5,4,0,20,3,3,35,56,52,67,74,38
45,9,0,7,2,0,2,2,13,24,14,40,50,55,84,50,55,0,1,2,8,1,11,28,1,18,12,58,32,78,58,32,1,4,1,1,1,16,3,20,6,8,35,59,11,131,21,6,10,16,26,46,1,1,1,5,4,0,3,3,3,25,25,21,16,10,9
46,31,7,4,0,8,0,8,27,18,6,53,51,38,121,51,38,4,4,7,13,12,7,30,9,31,4,49,34,102,70,97,2,1,0,3,7,7,1,8,31,61,51,40,112,15,79,8,16,31,62,125,0,0,0,4,11,5,8,12,8,44,46,45,43,36,54
47,9,1,0,6,6,13,12,26,28,25,62,64,21,62,64,31,1,0,3,1,8,3,33,7,8,24,21,63,24,121,8,4,6,5,7,6,2,21,17,26,6,54,27,67,28,35,6,12,20,35,65,5,5,5,6,6,6,6,6,6,10,29,23,6,7,5
48,11,0,7,2,0,7,2,4,1,20,39,16,27,39,102,27,7,6,0,15,6,9,27,14,4,36,40,66,36,72,123,1,4,1,5,9,0,29,33,30,17,56,6,12,109,44,7,13,25,46,92,0,0,1,9,9,9,11,26,16,43,47,44,34,35,42
49,18,5,0,6,5,11,16,20,0,13,58,66,24,106,74,113,6,0,6,6,0,6,7,25,21,56,26,22,68,60,22,6,0,6,0,2,3,13,14,7,33,25,15,107,13,129,2,2,4,5,9,6,6,6,8,7,7,2,2,2,0,0,0,11,9,12
50,5,7,4,0,8,15,14,25,31,31,42,28,28,42,71,106,4,4,7,4,4,13,4,26,7,16,25,20,16,25,20,2,1,0,14,15,15,8,1,23,59,37,24,5,49,13,8,17,34,68,134,0,0,0,14,16,16,29,29,28,39,42,43,24,20,27
51,15,5,0,6,5,11,16,20,0,13,5,66,24,5,9,24,6,0,6,6,0,6,7,25,21,56,26,22,68,60,22,6,0,6,0,2,3,13,14,7,1,23,64,57,106,71,2,2,4,5,9,6,6,6,8,7,7,2,2,2,0,0,0,11,9,20
52,18,5,0,6,5,11,16,20,0,13,5,66,24,108,91,24,6,0,6,6,0,6,7,25,21,56,26,22,68,60,22,6,0,6,0,2,3,13,14,7,33,25,15,107,13,104,2,2,4,5,9,6,6,6,8,7,7,2,2,2,0,0,0,11,9,12
53,21,4,3,5,4,8,5,31,27,4,3,15,12,131,75,12,3,2,1,3,2,15,3,2,1,34,53,1,34,53,1,0,3,2,2,5,1,6,11,1,0,66,65,83,43,113,1,1,3,4,6,2,2,2,2,2,2,1,0,0,13,1,40,12,24,69
54,9,0,7,2,0,7,2,21,1,19,4,42,37,4,42,76,0,1,2,8,14,2,17,22,6,28,11,58,106,73,19,1,4,1,1,1,16,3,3,11,4,27,10,125,51,27,6,12,20,33,61,1,1,1,5,4,0,13,11,11,2,3,1,14,28,17
55,15,6,1,7,13,7,7,4,1,24,4,1,44,78,59,44,7,6,0,12,6,9,26,17,26,31,22,42,31,22,42,1,4,1,5,9,0,33,3,11,48,58,45,109,125,110,6,12,19,31,57,0,0,0,3,3,4,16,23,20,19,15,14,5,6,7
56,16,3,5,1,15,5,1,18,21,22,8,52,56,101,90,87,5,5,5,5,5,5,22,5,19,44,61,28,70,61,71,5,2,4,6,3,5,31,23,14,44,39,39,41,93,54,5,5,11,16,29,4,4,4,1,1,1,9,9,10,58,55,59,72,63,73
57,21,4,3,5,4,8,5,19,27,4,52,47,58,100,47,58,3,2,1,3,2,15,29,33,1,67,2,21,67,120,21,0,3,2,2,5,1,6,11,1,37,3,63,135,97,113,1,1,2,2,3,2,2,2,2,2,2,27,0,0,24,20,22,29,5,4
58,28,7,4,0,12,15,8,30,33,27,60,33,41,60,33,41,4,4,7,14,16,12,16,27,11,40,36,55,40,36,72,2,1,0,5,9,0,1,8,31,9,55,6,12,55,45,7,13,23,42,80,0,0,0,9,9,9,11,26,16,43,47,44,34,35,42
59,9,0,7,2,0,7,2,21,24,19,4,42,65,4,42,135,0,1,2,8,1,11,15,1,18,64,42,6,12,1,89,1,4,1,1,1,16,3,20,6,17,56,30,89,28,108,6,10,16,26,46,1,1,1,5,4,0,3,11,11,33,31,35,133,48,108
60,16,3,5,1,9,5,1,18,4,1,46,41,14,109,81,14,5,5,5,5,5,5,5,5,5,5,27,65,5,123,65,5,2,4,6,3,5,31,23,14,53,9,28,35,9,6,5,6,12,20,37,4,4,4,1,1,1,9,9,10,65,59,60,109,112,114
61,3,7,4,0,8,15,8,27,18,6,48,51,33,116,107,80,4,4,7,13,4,7,30,9,31,46,19,34,19,19,11,2,1,0,3,7,7,1,8,31,19,7,40,68,55,8,8,14,28,53,104,0,0,0,4,5,5,8,12,5,29,32,27,86,82,32
62,15,6,1,7,13,1,7,14,30,24,31,59,23,77,118,23,7,6,0,15,6,9,13,6,10,66,6,17,66,6,17,1,4,1,5,9,0,33,3,11,51,65,16,115,134,45,6,12,19,32,59,0,0,0,3,3,4,12,7,7,53,39,30,85,118,71
63,16,3,5,1,9,5,1,18,4,1,46,4,14,109,81,14,5,5,5,5,5,5,19,18,5,23,46,30,112,46,91,5,2,4,6,3,5,31,23,14,25,61,62,134,86,63,5,6,12,18,32,4,4,4,1,1,1,9,9,10,9,8,50,35,25,10
64,8,7,4,0,8,16,15,15,17,12,57,61,16,57,105,16,4,4,7,13,4,7,14,19,13,46,19,11,19,113,11,2,1,0,3,7,7,0,29,5,61,56,30,68,55,8,8,14,29,54,108,0,0,0,4,8,5,5,5,5,8,14,17,45,12,47
65,9,0,7,2,10,4,13,22,7,11,38,26,34,124,24,120,0,1,2,16,13,14,8,20,12,21,10,16,21,10,16,7,7,7,11,11,4,19,9,9,11,5,4,0,118,133,6,9,15,24,44,7,7,7,10,10,10,19,17,17,6,6,5,0,1,0
66,18,5,0,6,5,11,16,20,0,5,58,0,3,106,74,113,6,0,6,6,0,6,7,25,21,7,62,45,88,91,101,6,0,6,0,2,3,13,14,7,58,21,66,31,31,50,2,2,5,7,13,6,6,6,8,7,7,2,2,2,14,10,7,49,9,55
67,21,4,3,5,4,8,5,31,16,4,3,15,12,131,75,12,3,2,1,3,2,15,3,2,1,34,53,1,72,87,38,0,3,2,2,5,1,6,11,1,0,66,65,73,10,0,1,1,3,4,6,2,2,2,2,2,2,1,0,0,13,1,46,39,29,53
68,11,0,7,2,3,7,2,32,13,30,61,29,7,39,132,27,0,1,2,0,7,2,27,14,17,36,40,66,36,72,123,1,4,1,1,1,16,29,33,30,43,0,6,12,109,44,7,13,25,46,92,1,1,1,9,9,0,7,8,9,43,47,44,34,35,42
69,14,2,6,3,14,12,11,12,26,23,65,54,25,18,116,19,2,3,4,2,3,4,2,3,2,48,41,25,114,107,52,3,5,3,4,4,14,11,0,2,3,33,11,10,40,3,4,4,10,15,28,3,3,3,0,0,3,0,1,1,20,18,20,64,62,72
70,21,4,3,5,4,8,10,24,6,16,20,34,8,3,93,98,3,2,1,3,2,1,21,24,20,55,29,46,55,100,46,0,3,2,2,5,1,6,11,1,23,60,3,7,113,124,1,1,1,1,2,2,2,2,2,2,2,14,14,12,1,2,6,20,38,16
71,1,7,4,0,8,15,8,10,18,6,48,51,45,121,107,107,4,4,7,14,11,12,9,4,33,19,28,47,117,93,107,2,1,0,3,7,7,1,8,31,19,7,40,79,28,45,8,14,28,52,103,0,0,0,4,5,5,8,12,8,29,32,27,86,82,32
72,11,0,2,4,3,14,9,3,13,17,67,43,18,67,100,18,0,7,2,9,9,8,10,8,9,43,8,15,96,71,102,1,4,1,5,9,0,29,33,30,67,55,30,48,87,98,6,11,18,29,53,1,1,1,9,12,11,18,16,15,59,65,65,52,96,51
73,14,2,6,3,2,6,11,28,5,29,18,45,54,95,79,54,2,3,4,2,3,4,32,3,2,29,43,49,85,43,75,3,5,3,4,4,14,11,0,2,16,10,49,6,89,18,4,4,10,12,21,3,3,3,0,0,3,10,10,23,15,13,25,9,23,11
74,16,3,5,1,9,5,1,9,4,1,10,49,17,134,49,108,5,5,5,5,5,5,5,5,5,50,27,5,69,27,110,5,2,4,6,3,5,26,6,3,2,9,53,34,128,117,5,6,12,20,35,4,4,4,1,1,1,4,4,4,27,45,12,77,47,56
75,19,1,0,6,16,3,12,26,23,15,47,25,32,47,68,32,1,0,3,1,8,3,33,7,8,24,21,63,116,121,8,4,6,5,7,6,2,4,5,4,18,41,61,1,133,20,3,3,8,10,18,5,5,5,6,6,6,6,6,6,10,4,3,73,84,79
76,22,6,1,7,13,1,7,14,30,20,31,59,23,31,117,23,7,6,0,15,6,9,13,6,10,66,6,17,6,112,62,1,4,1,5,9,0,33,3,11,17,56,16,48,129,103,7,13,24,45,90,0,0,0,3,3,4,12,7,7,51,36,36,54,50,77
77,16,3,5,1,15,5,1,9,4,22,7,49,17,68,49,17,5,5,5,5,5,5,22,5,19,50,48,5,87,84,28,5,2,4,6,3,5,26,6,3,2,9,53,114,114,72,5,6,12,20,34,4,4,4,1,1,1,4,4,4,35,38,31,81,67,86
78,11,0,2,4,3,14,9,32,13,17,67,43,18,67,43,18,0,7,2,9,9,8,10,8,9,53,8,61,53,78,61,1,4,1,1,1,16,29,33,30,67,56,30,48,124,98,6,11,18,29,53,1,1,1,9,9,11,7,8,9,59,65,65,104,96,100
79,14,2,6,3,14,12,3,29,12,33,43,40,19,43,40,89,2,3,4,2,3,4,23,15,24,33,23,31,33,23,127,3,5,3,4,4,14,17,22,32,20,38,12,51,34,56,4,4,10,15,27,3,3,3,0,0,14,22,20,22,11,12,9,2,3,2
80,14,2,6,3,2,12,4,2,26,8,41,38,6,65,110,6,2,3,4,2,3,4,2,3,2,48,41,25,114,107,127,3,5,3,4,4,14,11,0,2,3,33,11,133,40,3,4,4,10,15,27,3,3,3,0,0,3,0,1,1,20,18,20,64,62,119
81,9,0,7,2,0,2,2,13,24,14,40,37,61,40,37,29,0,1,2,8,1,11,15,1,18,64,55,6,120,55,56,1,4,1,1,1,16,3,20,6,14,52,31,89,28,108,6,10,16,27,49,1,1,1,5,4,0,3,3,3,26,23,24,61,48,60
82,19,1,0,6,1,13,12,11,9,10,29,5,53,107,5,53,1,0,3,1,8,3,24,32,27,65,20,29,118,114,130,4,6,5,9,10,6,22,21,20,21,64,17,75,79,86,3,3,6,8,16,5,5,5,6,6,6,26,25,25,17,16,18,4,4,104
83,19,1,0,6,16,3,12,26,23,15,16,25,32,16,72,75,1,0,3,1,8,3,33,7,8,35,21,63,35,83,63,4,6,5,7,6,2,4,5,4,18,16,5,100,35,36,3,3,8,10,19,5,5,5,6,6,6,6,6,6,12,4,3,1,2,1
84,16,3,5,1,15,5,1,18,21,22,10,52,1,122,52,87,5,5,5,5,5,5,22,5,19,25,34,50,25,125,109,5,2,4,6,3,5,26,6,3,42,59,57,3,71,29,5,5,11,17,31,4,4,4,1,1,1,20,18,18,35,9,52,67,74,38
85,9,0,7,2,0,7,2,21,24,19,40,46,37,4,102,135,0,1,2,8,14,2,17,22,6,28,11,58,28,11,58,1,4,1,1,1,16,3,33,30,4,27,10,131,29,83,6,12,20,33,61,1,1,1,5,4,0,13,11,11,2,3,1,78,16,39
86,16,3,5,1,15,5,1,9,21,22,10,52,1,10,90,87,5,5,5,5,5,5,22,5,19,25,34,50,129,34,50,5,2,4,6,3,5,26,6,3,42,48,9,120,107,125,5,5,11,17,30,4,4,4,1,1,1,20,18,18,30,9,28,23,32,22
87,9,0,7,2,0,2,2,13,24,14,28,62,65,28,62,70,0,1,2,8,1,11,28,1,18,47,1,32,47,80,79,1,4,1,1,1,16,30,20,6,29,62,13,78,95,73,6,10,16,25,45,1,1,1,5,4,0,3,3,3,33,31,35,15,15,13
88,9,0,7,2,0,2,2,13,24,14,28,62,65,84,16,70,0,1,2,8,1,11,28,1,18,12,58,32,78,58,32,1,4,1,1,1,16,30,20,6,8,35,59,124,18,2,6,10,16,26,46,1,1,1,5,4,0,3,3,3,33,31,21,16,10,9
89,19,5,0,6,6,13,12,20,28,5,29,5,13,29,0,116,6,0,6,6,0,6,25,0,3,37,0,3,37,127,3,6,0,6,0,2,3,7,15,29,17,56,30,79,28,45,2,2,5,7,12,6,6,6,8,7,7,2,2,2,14,10,7,18,18,18
90,29,7,4,0,8,10,14,10,25,9,51,53,45,37,53,85,4,4,7,11,10,13,31,29,29,17,33,35,126,33,35,2,1,0,16,13,13,2,19,0,39,43,47,84,88,87,8,14,26,49,96,0,0,0,7,5,8,23,22,26,28,27,26,8,8,31
91,11,7,4,0,8,15,8,28,5,29,53,45,54,86,45,25,2,3,4,2,3,4,32,3,2,29,43,49,29,118,49,3,5,3,4,4,14,11,0,2,16,10,49,20,58,23,4,4,10,12,22,3,3,3,0,0,3,10,10,23,15,13,25,9,92,76
92,11,6,1,7,12,1,7,14,30,20,39,33,27,39,1,27,7,6,0,15,6,9,27,14,4,36,40,14,98,40,14,1,4,1,5,9,0,29,33,30,17,56,6,12,109,44,7,13,25,46,92,0,0,1,9,9,9,11,26,16,43,47,44,34,35,42
93,9,0,7,2,10,4,13,22,7,11,38,26,34,124,76,34,0,1,2,16,13,14,8,20,12,21,10,16,21,10,16,7,7,7,11,11,4,19,9,9,11,5,4,88,17,126,6,9,15,24,44,7,7,7,10,10,10,19,17,17,6,6,5,0,1,0
